Gene ID	Transcript ID	StringTie ID	Chr	Location	Length	Classification	Exon number
BnaA04LNG0000300	BnaA04LNG0000300.1	MSTRG.13687.1	chrA04	2113741-2115752	2011	u	1
BnaA04LNG0000400	BnaA04LNG0000400.1	MSTRG.13837.1	chrA04	3375366-3377403	2037	u	1
BnaA04LNG0000500	BnaA04LNG0000500.1	MSTRG.13902.1	chrA04	3796995-3797417	422	u	1
BnaA04LNG0000600	BnaA04LNG0000600.1	MSTRG.13911.1	chrA04	3894514-3898880	4366	u	1
BnaA04LNG0000700	BnaA04LNG0000700.1	MSTRG.13935.1	chrA04	4037024-4037591	567	u	1
BnaA04LNG0000800	BnaA04LNG0000800.1	MSTRG.14015.1	chrA04	4568314-4569768	1454	u	1
BnaA04LNG0000900	BnaA04LNG0000900.1	MSTRG.14032.1	chrA04	4628398-4628759	361	u	1
BnaA04LNG0001000	BnaA04LNG0001000.1	MSTRG.14064.1	chrA04	4990314-4990903	589	u	1
BnaA04LNG0001100	BnaA04LNG0001100.1	MSTRG.14078.1	chrA04	5110268-5111092	824	u	1
BnaA04LNG0001200	BnaA04LNG0001200.1	MSTRG.14083.1	chrA04	5133868-5135075	1207	u	1
BnaA04LNG0001300	BnaA04LNG0001300.1	MSTRG.14089.1	chrA04	5223826-5224852	1026	u	1
BnaA04LNG0001400	BnaA04LNG0001400.1	MSTRG.14112.1	chrA04	5353193-5353874	681	u	1
BnaA04LNG0001500	BnaA04LNG0001500.1	MSTRG.14120.1	chrA04	5387524-5388460	936	u	1
BnaA04LNG0001600	BnaA04LNG0001600.1	MSTRG.14127.1	chrA04	5665285-5666248	963	u	1
BnaA04LNG0001700	BnaA04LNG0001700.1	MSTRG.14166.1	chrA04	5830512-5830965	453	u	1
BnaA04LNG0001800	BnaA04LNG0001800.1	MSTRG.14174.1	chrA04	5872518-5873111	593	u	1
BnaA04LNG0001900	BnaA04LNG0001900.1	MSTRG.14288.1	chrA04	6952872-6953618	746	u	1
BnaA04LNG0002000	BnaA04LNG0002000.1	MSTRG.14383.1	chrA04	7771771-7772491	720	u	1
BnaA04LNG0002100	BnaA04LNG0002100.1	MSTRG.14460.1	chrA04	8252065-8254121	2056	u	1
BnaA04LNG0002200	BnaA04LNG0002200.1	MSTRG.14461.1	chrA04	8255914-8256380	466	u	1
BnaA04LNG0002300	BnaA04LNG0002300.1	MSTRG.14477.1	chrA04	8354602-8354855	253	u	1
BnaA04LNG0002400	BnaA04LNG0002400.1	MSTRG.14499.1	chrA04	8549071-8551575	2504	u	1
BnaA04LNG0002500	BnaA04LNG0002500.1	MSTRG.14568.1	chrA04	9034272-9034930	658	u	1
BnaA04LNG0002600	BnaA04LNG0002600.1	MSTRG.14595.1	chrA04	9254769-9255450	681	u	1
BnaA04LNG0002700	BnaA04LNG0002700.1	MSTRG.14658.1	chrA04	9582201-9582465	264	u	1
BnaA04LNG0002800	BnaA04LNG0002800.1	MSTRG.14732.1	chrA04	10085207-10086120	913	u	1
BnaA04LNG0002900	BnaA04LNG0002900.1	MSTRG.14827.1	chrA04	10754824-10757281	2457	u	2
BnaA04LNG0003000	BnaA04LNG0003000.1	MSTRG.14857.1	chrA04	10890582-10890987	405	u	1
BnaA04LNG0003100	BnaA04LNG0003100.1	MSTRG.14896.1	chrA04	11118682-11119545	863	u	1
BnaA04LNG0003200	BnaA04LNG0003200.1	MSTRG.14912.1	chrA04	11315285-11316045	760	u	1
BnaA04LNG0003300	BnaA04LNG0003300.1	MSTRG.14933.1	chrA04	11464720-11465652	932	u	1
BnaA04LNG0003400	BnaA04LNG0003400.1	MSTRG.14940.1	chrA04	11491157-11492788	1631	u	2
BnaA04LNG0003500	BnaA04LNG0003500.1	MSTRG.14967.1	chrA04	11672492-11674678	2186	u	1
BnaA04LNG0003600	BnaA04LNG0003600.1	MSTRG.15003.1	chrA04	11912834-11913925	1091	u	1
BnaA04LNG0003700	BnaA04LNG0003700.1	MSTRG.15005.1	chrA04	11917045-11917571	526	u	1
BnaA04LNG0003800	BnaA04LNG0003800.1	MSTRG.15031.1	chrA04	12045626-12046853	1227	u	1
BnaA04LNG0003900	BnaA04LNG0003900.1	MSTRG.15214.1	chrA04	13090275-13093159	2884	u	1
BnaA04LNG0004000	BnaA04LNG0004000.1	MSTRG.15217.1	chrA04	13101187-13102355	1168	u	1
BnaA04LNG0004100	BnaA04LNG0004100.1	MSTRG.15324.1	chrA04	13780168-13781048	880	u	1
BnaA04LNG0004200	BnaA04LNG0004200.1	MSTRG.15487.1	chrA04	14815939-14816767	828	u	1
BnaA04LNG0004300	BnaA04LNG0004300.1	MSTRG.15598.1	chrA04	15466985-15468458	1473	o	2
BnaA04LNG0004400	BnaA04LNG0004400.1	MSTRG.15637.1	chrA04	15662448-15667988	5540	u	1
BnaA04LNG0004500	BnaA04LNG0004500.1	MSTRG.15638.1	chrA04	15668205-15668896	691	u	1
BnaA04LNG0004600	BnaA04LNG0004600.1	MSTRG.15677.1	chrA04	15836864-15838956	2092	u	2
BnaA04LNG0004700	BnaA04LNG0004700.1	MSTRG.15692.1	chrA04	15976565-15978132	1567	u	1
BnaA04LNG0004800	BnaA04LNG0004800.1	MSTRG.15963.1	chrA04	17605487-17606365	878	u	1
BnaA04LNG0004900	BnaA04LNG0004900.1	MSTRG.15964.1	chrA04	17607607-17608343	736	u	1
BnaA04LNG0005000	BnaA04LNG0005000.1	MSTRG.16054.1	chrA04	18174688-18175304	616	u	1
BnaA04LNG0005100	BnaA04LNG0005100.1	MSTRG.16298.1	chrA04_random	170185-170715	530	u	1
BnaA04LNG0005200	BnaA04LNG0005200.1	MSTRG.16320.1	chrA04_random	321345-322838	1493	u	1
BnaA04LNG0005300	BnaA04LNG0005300.1	MSTRG.16383.1	chrA04_random	633684-634280	596	u	1
BnaA04LNG0005400	BnaA04LNG0005400.1	MSTRG.16409.1	chrA04_random	763727-765287	1560	u	1
BnaA05LNG0000100	BnaA05LNG0000100.1	MSTRG.16624.1	chrA05	612681-612921	240	u	1
BnaA05LNG0000200	BnaA05LNG0000200.1	MSTRG.16702.1	chrA05	1081197-1082224	1027	u	1
BnaA05LNG0000300	BnaA05LNG0000300.1	MSTRG.16879.1	chrA05	2270876-2271625	749	u	2
BnaA05LNG0000400	BnaA05LNG0000400.1	MSTRG.16894.1	chrA05	2363864-2364541	677	u	1
BnaA05LNG0000500	BnaA05LNG0000500.1	MSTRG.16898.1	chrA05	2380079-2380739	660	u	1
BnaA05LNG0000600	BnaA05LNG0000600.1	MSTRG.16913.1	chrA05	2544204-2544501	297	u	1
BnaA05LNG0000700	BnaA05LNG0000700.1	MSTRG.17007.1	chrA05	2998328-2998727	399	u	1
BnaA05LNG0000800	BnaA05LNG0000800.1	MSTRG.17066.1	chrA05	3457989-3458590	601	u	1
BnaA05LNG0000900	BnaA05LNG0000900.1	MSTRG.17075.1	chrA05	3517936-3518393	457	u	1
BnaA05LNG0001000	BnaA05LNG0001000.1	MSTRG.17199.1	chrA05	4231422-4233886	2464	u	1
BnaA05LNG0001100	BnaA05LNG0001100.1	MSTRG.17207.1	chrA05	4278936-4279261	325	u	1
BnaA05LNG0001200	BnaA05LNG0001200.1	MSTRG.17209.1	chrA05	4285409-4286485	1076	u	1
BnaA05LNG0001300	BnaA05LNG0001300.1	MSTRG.17217.1	chrA05	4480414-4480626	212	u	1
BnaA05LNG0001400	BnaA05LNG0001400.1	MSTRG.17222.1	chrA05	4536456-4537171	715	u	1
BnaA05LNG0001500	BnaA05LNG0001500.1	MSTRG.17256.1	chrA05	4679778-4683579	3801	u	1
BnaA05LNG0001600	BnaA05LNG0001600.1	MSTRG.17337.1	chrA05	5061295-5061975	680	u	1
BnaA05LNG0001700	BnaA05LNG0001700.1	MSTRG.17364.1	chrA05	5170140-5170559	419	i	1
BnaA05LNG0001800	BnaA05LNG0001800.1	MSTRG.17383.1	chrA05	5244250-5244547	297	u	1
BnaA05LNG0001900	BnaA05LNG0001900.1	MSTRG.17384.1	chrA05	5254396-5254721	325	u	1
BnaA05LNG0002000	BnaA05LNG0002000.1	MSTRG.17393.1	chrA05	5275258-5275857	599	o	2
BnaA05LNG0002100	BnaA05LNG0002100.1	MSTRG.17390.1	chrA05	5300661-5301200	539	u	1
BnaA05LNG0002200	BnaA05LNG0002200.1	MSTRG.17560.1	chrA05	6387736-6390577	2841	u	1
BnaA05LNG0002300	BnaA05LNG0002300.1	MSTRG.17595.1	chrA05	6567668-6568822	1154	u	1
BnaA05LNG0002400	BnaA05LNG0002400.1	MSTRG.17621.1	chrA05	6737157-6737529	372	u	1
BnaA05LNG0002500	BnaA05LNG0002500.1	MSTRG.17674.1	chrA05	7076915-7085331	8416	o	2
BnaA05LNG0002600	BnaA05LNG0002600.1	MSTRG.17706.1	chrA05	7483730-7484146	416	u	1
BnaA05LNG0002700	BnaA05LNG0002700.1	MSTRG.17720.1	chrA05	7589848-7596909	7061	o	2
BnaA05LNG0002800	BnaA05LNG0002800.1	MSTRG.17949.1	chrA05	9383803-9384819	1016	u	1
BnaA05LNG0002900	BnaA05LNG0002900.1	MSTRG.18009.1	chrA05	9907929-9908314	385	u	1
BnaA05LNG0003000	BnaA05LNG0003000.1	MSTRG.18014.1	chrA05	9925515-9926047	532	u	1
BnaA05LNG0003100	BnaA05LNG0003100.1	MSTRG.18021.1	chrA05	9938323-9939067	744	u	1
BnaA05LNG0003200	BnaA05LNG0003200.1	MSTRG.18099.1	chrA05	10543147-10543496	349	u	1
BnaA05LNG0003300	BnaA05LNG0003300.1	MSTRG.18101.1	chrA05	10548587-10549075	488	u	1
BnaA05LNG0003400	BnaA05LNG0003400.1	MSTRG.18134.1	chrA05	10873682-10874455	773	u	1
BnaA05LNG0003500	BnaA05LNG0003500.1	MSTRG.18183.1	chrA05	11392444-11393298	854	u	1
BnaA05LNG0003600	BnaA05LNG0003600.1	MSTRG.18200.1	chrA05	11457019-11458540	1521	u	1
BnaA05LNG0003700	BnaA05LNG0003700.1	MSTRG.18221.1	chrA05	11559571-11560213	642	u	1
BnaA05LNG0003800	BnaA05LNG0003800.1	MSTRG.18234.2	chrA05	11609963-11611676	1713	o	4
BnaA05LNG0003900	BnaA05LNG0003900.2	MSTRG.18234.3	chrA05	11609963-11611676	1713	o	3
BnaA05LNG0004000	BnaA05LNG0004000.1	MSTRG.18313.1	chrA05	12507578-12508203	625	u	1
BnaA05LNG0004100	BnaA05LNG0004100.1	MSTRG.18365.1	chrA05	13029292-13029624	332	u	1
BnaA05LNG0004200	BnaA05LNG0004200.1	MSTRG.18369.1	chrA05	13131093-13132519	1426	u	1
BnaA05LNG0004300	BnaA05LNG0004300.1	MSTRG.18373.1	chrA05	13138408-13138909	501	u	1
BnaA05LNG0004400	BnaA05LNG0004400.1	MSTRG.18488.1	chrA05	14495670-14498800	3130	u	2
BnaA05LNG0004500	BnaA05LNG0004500.1	MSTRG.18546.1	chrA05	14852058-14855291	3233	u	1
BnaA05LNG0004600	BnaA05LNG0004600.1	MSTRG.18624.1	chrA05	15523454-15524525	1071	u	1
BnaA05LNG0004700	BnaA05LNG0004700.1	MSTRG.18731.1	chrA05	16432831-16433524	693	u	1
BnaA05LNG0004800	BnaA05LNG0004800.1	MSTRG.18732.1	chrA05	16433747-16435537	1790	u	1
BnaA05LNG0004900	BnaA05LNG0004900.1	MSTRG.18869.1	chrA05	17206334-17207538	1204	o	2
BnaA05LNG0005000	BnaA05LNG0005000.1	MSTRG.18923.1	chrA05	17628915-17629413	498	u	1
BnaA05LNG0005100	BnaA05LNG0005100.1	MSTRG.18959.1	chrA05	17844509-17853566	9057	u	1
BnaA05LNG0005200	BnaA05LNG0005200.1	MSTRG.19017.1	chrA05	18280778-18282262	1484	u	1
BnaA05LNG0005300	BnaA05LNG0005300.1	MSTRG.19042.1	chrA05	18335708-18336078	370	u	1
BnaA05LNG0005400	BnaA05LNG0005400.1	MSTRG.19179.1	chrA05	19185925-19189306	3381	o	3
BnaA05LNG0005500	BnaA05LNG0005500.1	MSTRG.19211.1	chrA05	19316728-19319236	2508	x	2
BnaA05LNG0005600	BnaA05LNG0005600.1	MSTRG.19187.1	chrA05	19421115-19422751	1636	u	1
BnaA05LNG0005700	BnaA05LNG0005700.1	MSTRG.19286.1	chrA05	19790009-19790791	782	u	1
BnaA05LNG0005800	BnaA05LNG0005800.1	MSTRG.19739.1	chrA05	22604796-22605302	506	u	1
BnaA05LNG0005900	BnaA05LNG0005900.1	MSTRG.19795.1	chrA05	23014419-23016249	1830	u	3
BnaA05LNG0006000	BnaA05LNG0006000.1	MSTRG.19815.1	chrA05_random	23042-23799	757	o	2
BnaA05LNG0006100	BnaA05LNG0006100.1	MSTRG.19818.1	chrA05_random	59153-59725	572	u	1
BnaA05LNG0006200	BnaA05LNG0006200.1	MSTRG.19827.1	chrA05_random	83696-85899	2203	u	1
BnaA05LNG0006300	BnaA05LNG0006300.1	MSTRG.19852.1	chrA05_random	182654-183980	1326	u	1
BnaA05LNG0006400	BnaA05LNG0006400.1	MSTRG.19934.1	chrA05_random	692280-692682	402	u	1
BnaA05LNG0006500	BnaA05LNG0006500.1	MSTRG.19948.1	chrA05_random	741430-742766	1336	u	1
BnaA05LNG0006600	BnaA05LNG0006600.1	MSTRG.19979.1	chrA05_random	951763-952962	1199	u	1
BnaA05LNG0006700	BnaA05LNG0006700.1	MSTRG.20003.1	chrA05_random	1158338-1158916	578	u	1
BnaA05LNG0006800	BnaA05LNG0006800.1	MSTRG.20047.1	chrA05_random	1408145-1408799	654	u	1
BnaA05LNG0006900	BnaA05LNG0006900.1	MSTRG.20048.1	chrA05_random	1419996-1420241	245	u	1
BnaA05LNG0007000	BnaA05LNG0007000.1	MSTRG.20068.1	chrA05_random	1544145-1544435	290	u	1
BnaA05LNG0007100	BnaA05LNG0007100.1	MSTRG.20125.1	chrA05_random	2429604-2430153	549	u	1
BnaA05LNG0007200	BnaA05LNG0007200.1	MSTRG.20126.1	chrA05_random	2432643-2433841	1198	u	1
BnaA05LNG0007300	BnaA05LNG0007300.1	MSTRG.20179.1	chrA05_random	2806653-2807100	447	u	1
BnaA06LNG0000100	BnaA06LNG0000100.1	MSTRG.20283.1	chrA06	317645-319067	1422	u	1
BnaA06LNG0000200	BnaA06LNG0000200.1	MSTRG.20288.1	chrA06	408140-408753	613	u	1
BnaA06LNG0000300	BnaA06LNG0000300.1	MSTRG.20304.1	chrA06	485881-488606	2725	u	1
BnaA06LNG0000400	BnaA06LNG0000400.1	MSTRG.20309.3	chrA06	498251-501582	3331	u	2
BnaA06LNG0000500	BnaA06LNG0000500.1	MSTRG.20408.1	chrA06	1109919-1110300	381	u	1
BnaA06LNG0000600	BnaA06LNG0000600.1	MSTRG.20409.1	chrA06	1124552-1126478	1926	u	1
BnaA06LNG0000700	BnaA06LNG0000700.1	MSTRG.20632.1	chrA06	2559975-2561199	1224	u	1
BnaA06LNG0000800	BnaA06LNG0000800.1	MSTRG.20844.1	chrA06	3660851-3661412	561	o	2
BnaA06LNG0000900	BnaA06LNG0000900.1	MSTRG.20888.1	chrA06	3942848-3943384	536	u	1
BnaA06LNG0001000	BnaA06LNG0001000.1	MSTRG.21000.1	chrA06	4646683-4648719	2036	u	1
BnaA06LNG0001100	BnaA06LNG0001100.1	MSTRG.21138.3	chrA06	5380344-5382107	1763	o	2
BnaA06LNG0001200	BnaA06LNG0001200.1	MSTRG.21141.1	chrA06	5392353-5393071	718	u	2
BnaA06LNG0001300	BnaA06LNG0001300.1	MSTRG.21259.1	chrA06	6128753-6129178	425	u	1
BnaA06LNG0001400	BnaA06LNG0001400.1	MSTRG.21309.1	chrA06	6460601-6465525	4924	u	2
BnaA06LNG0001500	BnaA06LNG0001500.1	MSTRG.21322.1	chrA06	6567014-6569767	2753	u	1
BnaA06LNG0001600	BnaA06LNG0001600.1	MSTRG.21325.1	chrA06	6574389-6575218	829	u	1
BnaA06LNG0001700	BnaA06LNG0001700.1	MSTRG.21339.1	chrA06	6602544-6603940	1396	u	1
BnaA06LNG0001800	BnaA06LNG0001800.1	MSTRG.21458.1	chrA06	7580319-7582056	1737	u	1
BnaA06LNG0001900	BnaA06LNG0001900.1	MSTRG.21479.1	chrA06	7666392-7667693	1301	o	2
BnaA06LNG0002000	BnaA06LNG0002000.1	MSTRG.21543.1	chrA06	8006489-8006710	221	u	1
BnaA06LNG0002100	BnaA06LNG0002100.1	MSTRG.21559.1	chrA06	8123221-8123662	441	u	1
BnaA06LNG0002200	BnaA06LNG0002200.1	MSTRG.21560.1	chrA06	8126009-8126351	342	u	1
BnaA06LNG0002300	BnaA06LNG0002300.1	MSTRG.21597.1	chrA06	8335942-8336330	388	u	1
BnaA06LNG0002400	BnaA06LNG0002400.1	MSTRG.21601.1	chrA06	8344194-8344467	273	u	1
BnaA06LNG0002500	BnaA06LNG0002500.1	MSTRG.21606.1	chrA06	8372402-8373156	754	u	1
BnaA06LNG0002600	BnaA06LNG0002600.1	MSTRG.21675.1	chrA06	8789806-8790417	611	u	1
BnaA06LNG0002700	BnaA06LNG0002700.1	MSTRG.21695.1	chrA06	8932200-8933103	903	u	1
BnaA06LNG0002800	BnaA06LNG0002800.1	MSTRG.21842.1	chrA06	9875499-9876744	1245	u	1
BnaA06LNG0002900	BnaA06LNG0002900.1	MSTRG.21855.1	chrA06	9916152-9917770	1618	o	3
BnaA06LNG0003000	BnaA06LNG0003000.1	MSTRG.21936.1	chrA06	10467069-10467897	828	u	1
BnaA06LNG0003100	BnaA06LNG0003100.1	MSTRG.21975.1	chrA06	10913636-10914210	574	u	1
BnaA06LNG0003200	BnaA06LNG0003200.1	MSTRG.21993.1	chrA06	11005493-11007572	2079	o	2
BnaA06LNG0003300	BnaA06LNG0003300.1	MSTRG.22022.1	chrA06	11302471-11303717	1246	u	1
BnaA06LNG0003400	BnaA06LNG0003400.1	MSTRG.22037.1	chrA06	11304986-11305741	755	u	1
BnaA06LNG0003500	BnaA06LNG0003500.1	MSTRG.22036.1	chrA06	11321889-11322934	1045	u	1
BnaA06LNG0003600	BnaA06LNG0003600.1	MSTRG.22049.1	chrA06	11469221-11469825	604	u	1
BnaA06LNG0003700	BnaA06LNG0003700.1	MSTRG.22090.1	chrA06	11993911-11994923	1012	u	1
BnaA06LNG0003800	BnaA06LNG0003800.1	MSTRG.22165.1	chrA06	13271712-13273079	1367	u	1
BnaA06LNG0003900	BnaA06LNG0003900.1	MSTRG.22265.1	chrA06	14308457-14309480	1023	u	1
BnaA06LNG0004000	BnaA06LNG0004000.1	MSTRG.22268.1	chrA06	14318017-14320701	2684	u	1
BnaA06LNG0004100	BnaA06LNG0004100.1	MSTRG.22308.1	chrA06	14530420-14530626	206	u	1
BnaA06LNG0004200	BnaA06LNG0004200.1	MSTRG.22359.1	chrA06	15141250-15141475	225	u	1
BnaA06LNG0004300	BnaA06LNG0004300.1	MSTRG.22408.1	chrA06	15252210-15252527	317	u	1
BnaA06LNG0004400	BnaA06LNG0004400.1	MSTRG.22421.1	chrA06	15324598-15326496	1898	u	1
BnaA06LNG0004500	BnaA06LNG0004500.1	MSTRG.22448.1	chrA06	15509051-15513224	4173	u	1
BnaA06LNG0004600	BnaA06LNG0004600.1	MSTRG.22460.1	chrA06	15584375-15584871	496	u	1
BnaA06LNG0004700	BnaA06LNG0004700.1	MSTRG.22723.1	chrA06	17411153-17413173	2020	u	1
BnaA06LNG0004800	BnaA06LNG0004800.1	MSTRG.22786.1	chrA06	17842896-17843138	242	i	1
BnaA06LNG0004900	BnaA06LNG0004900.1	MSTRG.22820.1	chrA06	18061307-18062411	1104	u	1
BnaA06LNG0005000	BnaA06LNG0005000.1	MSTRG.22848.1	chrA06	18216283-18218048	1765	u	1
BnaA06LNG0005100	BnaA06LNG0005100.1	MSTRG.22947.1	chrA06	18856892-18857992	1100	u	1
BnaA06LNG0005200	BnaA06LNG0005200.1	MSTRG.22974.1	chrA06	18999196-18999830	634	u	1
BnaA06LNG0005300	BnaA06LNG0005300.1	MSTRG.23050.1	chrA06	19489827-19490389	562	u	1
BnaA06LNG0005400	BnaA06LNG0005400.1	MSTRG.23166.1	chrA06	20204181-20205392	1211	u	1
BnaA06LNG0005500	BnaA06LNG0005500.1	MSTRG.23379.1	chrA06	21537439-21541830	4391	u	2
BnaA06LNG0005600	BnaA06LNG0005600.1	MSTRG.23433.1	chrA06	21789532-21791358	1826	u	1
BnaA06LNG0005700	BnaA06LNG0005700.1	MSTRG.23479.1	chrA06	22276097-22276488	391	u	1
BnaA06LNG0005800	BnaA06LNG0005800.1	MSTRG.23601.2	chrA06	22848051-22854453	6402	o	3
BnaA06LNG0005900	BnaA06LNG0005900.1	MSTRG.23601.6	chrA06	22848093-22851589	3496	o	2
BnaA06LNG0006000	BnaA06LNG0006000.1	MSTRG.23601.8	chrA06	22848095-22851589	3494	o	2
BnaA06LNG0006100	BnaA06LNG0006100.1	MSTRG.23601.16	chrA06	22848115-22851589	3474	o	2
BnaA06LNG0006200	BnaA06LNG0006200.1	MSTRG.23666.1	chrA06	23375459-23375979	520	u	1
BnaA06LNG0006300	BnaA06LNG0006300.1	MSTRG.23696.1	chrA06	23579417-23581782	2365	u	1
BnaA06LNG0006400	BnaA06LNG0006400.1	MSTRG.23739.1	chrA06	23808045-23809710	1665	u	2
BnaA06LNG0006500	BnaA06LNG0006500.1	MSTRG.23768.1	chrA06	23983468-23984356	888	u	1
BnaA06LNG0006600	BnaA06LNG0006600.1	MSTRG.23799.1	chrA06	24131110-24133703	2593	u	2
BnaA06LNG0006700	BnaA06LNG0006700.1	MSTRG.23873.1	chrA06_random	186631-187317	686	u	1
BnaA06LNG0006800	BnaA06LNG0006800.1	MSTRG.23921.1	chrA06_random	508570-510804	2234	u	1
BnaA06LNG0006900	BnaA06LNG0006900.1	MSTRG.23972.1	chrA06_random	652122-654355	2233	u	1
BnaA06LNG0007000	BnaA06LNG0007000.1	MSTRG.23974.1	chrA06_random	680102-680514	412	u	1
BnaA06LNG0007100	BnaA06LNG0007100.1	MSTRG.23978.1	chrA06_random	693900-694414	514	u	1
BnaA06LNG0007200	BnaA06LNG0007200.1	MSTRG.23985.1	chrA06_random	778604-780679	2075	u	1
BnaA06LNG0007300	BnaA06LNG0007300.1	MSTRG.23993.1	chrA06_random	833358-833745	387	u	1
BnaA06LNG0007400	BnaA06LNG0007400.1	MSTRG.23994.1	chrA06_random	834493-838647	4154	u	1
BnaA06LNG0007500	BnaA06LNG0007500.1	MSTRG.24025.1	chrA06_random	1148314-1149681	1367	u	1
BnaA06LNG0007600	BnaA06LNG0007600.1	MSTRG.24039.1	chrA06_random	1253613-1255968	2355	u	3
BnaA06LNG0007700	BnaA06LNG0007700.1	MSTRG.24102.2	chrA06_random	1662538-1665772	3234	o	3
BnaA06LNG0007800	BnaA06LNG0007800.1	MSTRG.24102.3	chrA06_random	1665021-1665772	751	o	2
BnaA06LNG0007900	BnaA06LNG0007900.1	MSTRG.24098.1	chrA06_random	1720955-1721561	606	o	2
BnaA06LNG0008000	BnaA06LNG0008000.1	MSTRG.24111.1	chrA06_random	1739950-1740831	881	u	1
BnaA07LNG0000100	BnaA07LNG0000100.1	MSTRG.24201.1	chrA07	2126-5141	3015	u	1
BnaA07LNG0000200	BnaA07LNG0000200.1	MSTRG.24299.1	chrA07	629791-631753	1962	o	2
BnaA07LNG0000300	BnaA07LNG0000300.1	MSTRG.24359.1	chrA07	1131006-1132052	1046	u	1
BnaA07LNG0000400	BnaA07LNG0000400.1	MSTRG.24361.1	chrA07	1153774-1154124	350	u	1
BnaA07LNG0000500	BnaA07LNG0000500.1	MSTRG.24363.1	chrA07	1155398-1156022	624	u	1
BnaA07LNG0000600	BnaA07LNG0000600.1	MSTRG.24364.1	chrA07	1156460-1157044	584	u	1
BnaA07LNG0000700	BnaA07LNG0000700.1	MSTRG.24429.1	chrA07	1595464-1596208	744	u	1
BnaA07LNG0000800	BnaA07LNG0000800.1	MSTRG.24430.1	chrA07	1596576-1598455	1879	u	1
BnaA07LNG0000900	BnaA07LNG0000900.1	MSTRG.24431.1	chrA07	1600075-1603347	3272	u	1
BnaA07LNG0001000	BnaA07LNG0001000.1	MSTRG.24433.1	chrA07	1610926-1611224	298	u	1
BnaA07LNG0001100	BnaA07LNG0001100.1	MSTRG.24448.1	chrA07	1698117-1698711	594	u	1
BnaA07LNG0001200	BnaA07LNG0001200.1	MSTRG.24450.1	chrA07	1724590-1728709	4119	u	1
BnaA07LNG0001300	BnaA07LNG0001300.1	MSTRG.24473.1	chrA07	1818225-1820058	1833	u	1
BnaA07LNG0001400	BnaA07LNG0001400.1	MSTRG.24494.1	chrA07	1944958-1945188	230	u	1
BnaA07LNG0001500	BnaA07LNG0001500.1	MSTRG.24518.1	chrA07	2238269-2239177	908	u	1
BnaA07LNG0001600	BnaA07LNG0001600.1	MSTRG.24522.1	chrA07	2251873-2253706	1833	o	2
BnaA07LNG0001700	BnaA07LNG0001700.1	MSTRG.24550.1	chrA07	2483928-2485417	1489	u	1
BnaA07LNG0001800	BnaA07LNG0001800.1	MSTRG.24567.1	chrA07	2562487-2563044	557	u	1
BnaA07LNG0001900	BnaA07LNG0001900.1	MSTRG.24609.1	chrA07	2894883-2895100	217	u	1
BnaA07LNG0002000	BnaA07LNG0002000.1	MSTRG.24611.1	chrA07	2908627-2909278	651	u	1
BnaA07LNG0002100	BnaA07LNG0002100.1	MSTRG.24671.1	chrA07	3506272-3507845	1573	u	1
BnaA07LNG0002200	BnaA07LNG0002200.1	MSTRG.24704.1	chrA07	3983310-3983847	537	u	1
BnaA07LNG0002300	BnaA07LNG0002300.1	MSTRG.24715.1	chrA07	4108805-4109375	570	u	1
BnaA07LNG0002400	BnaA07LNG0002400.1	MSTRG.24795.1	chrA07	4901739-4902412	673	u	1
BnaA07LNG0002500	BnaA07LNG0002500.1	MSTRG.24833.1	chrA07	5211132-5212242	1110	u	1
BnaA07LNG0002600	BnaA07LNG0002600.1	MSTRG.24845.1	chrA07	5283131-5283683	552	u	1
BnaA07LNG0002700	BnaA07LNG0002700.1	MSTRG.24876.1	chrA07	5581408-5582963	1555	u	1
BnaA07LNG0002800	BnaA07LNG0002800.1	MSTRG.24878.1	chrA07	5592808-5594793	1985	u	1
BnaA07LNG0002900	BnaA07LNG0002900.1	MSTRG.24990.1	chrA07	6507695-6510025	2330	u	1
BnaA07LNG0003000	BnaA07LNG0003000.1	MSTRG.25015.1	chrA07	6665896-6666313	417	u	1
BnaA07LNG0003100	BnaA07LNG0003100.1	MSTRG.25041.1	chrA07	6857205-6859853	2648	u	1
BnaA07LNG0003200	BnaA07LNG0003200.1	MSTRG.25164.1	chrA07	7738562-7739533	971	u	1
BnaA07LNG0003300	BnaA07LNG0003300.1	MSTRG.25184.1	chrA07	8140860-8141529	669	u	1
BnaA07LNG0003400	BnaA07LNG0003400.1	MSTRG.25202.1	chrA07	8192640-8193220	580	u	1
BnaA07LNG0003500	BnaA07LNG0003500.1	MSTRG.25594.1	chrA07	10851726-10858620	6894	u	1
BnaA07LNG0003600	BnaA07LNG0003600.1	MSTRG.25719.1	chrA07	11586169-11586728	559	u	1
BnaA07LNG0003700	BnaA07LNG0003700.1	MSTRG.25890.1	chrA07	12679280-12680526	1246	u	2
BnaA07LNG0003800	BnaA07LNG0003800.1	MSTRG.25988.1	chrA07	13304798-13307373	2575	o	3
BnaA07LNG0003900	BnaA07LNG0003900.1	MSTRG.26136.1	chrA07	14165974-14167327	1353	u	1
BnaA07LNG0004000	BnaA07LNG0004000.1	MSTRG.26152.1	chrA07	14254414-14254845	431	u	1
BnaA07LNG0004100	BnaA07LNG0004100.1	MSTRG.26206.7	chrA07	14536061-14537850	1789	o	2
BnaA07LNG0004200	BnaA07LNG0004200.1	MSTRG.26346.1	chrA07	15422843-15423458	615	u	1
